created_on,text
2020-01-01,"Azure-A is one of the phenothiazines (PTZs) derivatives which for decades have been used as antipsychotic drugs due to good lipophilic characteristics which enable them to pass through the blood brain barrier (BBB), besides the important property of enabeling investigation of the pathological forms of aggregated tau protein found in the neurons of the central nervous system. Radioiodination of Azure-A was carried out via an electrophilic substitution reaction using chloramine-T as oxidizing agent. The influence of various reaction parameters and conditions on radioiodination efficiency was investigated, and a high radiochemical yield of 92.07 ± 0.9 % was obtained. An in vitro cytotoxicity study of iodinated Azure-A on three cell lines (HCT-116, human colon carcinoma cell line; Hep-G2, liver carcinoma cell line and HFB-4, normal human melanocytes) was carried out, and the data revealed that ioiodinated Azure A has no to very low toxic effect. The in vivo biodistribution study of  "
2020-01-01,"The misfolding and aggregation of tau protein into neurofibrillary tangles is the main underlying hallmark of tauopathies. Most tauopathies have a sporadic origin and can be associated with multiple risk factors. Traumatic brain injury (TBI) has been suggested as a risk factor for tauopathies by triggering disease onset and facilitating its progression. Several studies indicate that TBI seems to be a risk factor to development of Alzheimer disease and chronic traumatic encephalopathy, because there is a relationship of TBI severity and propensity to development of these illnesses. In this study, we evaluated whether moderate to severe TBI can trigger the initial formation of pathological tau that would induce the development of the pathology throughout the brain. To this end, we subjected tau transgenic mice to TBI and assessed tau phosphorylation and aggregation pattern to create a spatial heat map of tau deposition and spreading in the brain. Our results suggest that brain injured tau transgenic mice have an accelerated tau pathology in different brain regions that increases over time compared with sham mice. The appearance of pathological tau occurs in regions distant to the injury area that are connected synaptically, suggesting dissemination of tau aggregates. Overall, this work posits TBI as a risk factor for tauopathies through the induction of tau hyperphosphorylation and aggregation. "
2020-01-01,"Chronic traumatic encephalopathy (CTE), a disease process well-recognized in boxers, American football players and military personnel, is a progressive neurodegenerative disease caused by repetitive blows to the head. Subjects with CTE can have a wide range of emotional, cognitive and physical symptoms. The cognitive group patients had a significantly higher probability of developing dementia in later years. Currently, there are no disease modifying regimen for CTE. Timely intervention of head blow could diminish the development of CTE. Low-intensity pulsed ultrasound (LIPUS) is a common adjunct used to promote bone healing for fresh fracture. Recent reports suggest that LIPUS can noninvasively modulate the cortical function and have neuroprotective effect in various animal models of traumatic brain injury, stroke, Alzheimer's disease and major depressive disorder. The multifunctional mechanisms of LIPUS neuroprotective effect include several trophic factor stimulations, anti-inflammatory properties and reduction of brain edema. From the above evidence, LIPUS intervention could be a strategy for the prevention of the clinical CTE sequelae of repetitive head blows. We hypothesized that due to its neuroprotective effects, the non-invasive and easy-to-use method of LIPUS brain stimulation could have a preventive effect on players who have head blows during the match. The development of a time sensitive protocol, resembling the therapeutic algorithm for traumatic brain injury, would potentially prevent the development of subsequent CTE adverse outcome. Further long-term longitudinal studies of LIPUS stimulation are warranted to verify the prevention efficacy of this intervention for CTE. "
2020-01-01,"Autotaxin (ATX) is a soluble extracellular enzyme that is abundant in mammalian plasma and cerebrospinal fluid (CSF). It has two known enzymatic activities, acting as both a phosphodiesterase and a phospholipase. The majority of its biological effects have been associated with its ability to liberate lysophosphatidic acid (LPA) from its substrate, lysophosphatidylcholine (LPC). LPA has diverse pleiotropic effects in the central nervous system (CNS) and other tissues via the activation of a family of six cognate G protein-coupled receptors. These LPA receptors (LPARs) are expressed in some combination in all known cell types in the CNS where they mediate such fundamental cellular processes as proliferation, differentiation, migration, chronic inflammation, and cytoskeletal organization. As a result, dysregulation of LPA content may contribute to many CNS and PNS disorders such as chronic inflammatory or neuropathic pain, glioblastoma multiforme (GBM), hemorrhagic hydrocephalus, schizophrenia, multiple sclerosis, Alzheimer's disease, metabolic syndrome-induced brain damage, traumatic brain injury, hepatic encephalopathy-induced cerebral edema, macular edema, major depressive disorder, stress-induced psychiatric disorder, alcohol-induced brain damage, HIV-induced brain injury, pruritus, and peripheral nerve injury. ATX activity is now known to be the primary biological source of this bioactive signaling lipid, and as such, represents a potentially high-value drug target. There is currently one ATX inhibitor entering phase III clinical trials, with several additional preclinical compounds under investigation. This review discusses the physiological and pathological significance of the ATX-LPA-LPA receptor signaling axis and summarizes the evidence for targeting this pathway for the treatment of CNS diseases. "
2020-01-01,"This essay uses gender as a category of historical and sociological analysis to situate two populations-boxers and victims of domestic violence-in context and explain the temporal and ontological discrepancies between them as potential brain injury patients. In boxing, the question of brain injury and its sequelae were analyzed from 1928 on, often on profoundly somatic grounds. With domestic violence, in contrast, the question of brain injury and its sequelae appear to have been first examined only after 1990. Symptoms prior to that period were often cast as functional in specific psychiatric and psychological nomenclatures. We examine this chronological and epistemological disconnection between forms of violence that appear otherwise highly similar even if existing in profoundly different spaces. "
2020-01-01,"This paper examines the entanglement of medicine, brain injury, and subjectivity within newspaper discourse and through the case of ex-American footballer Aaron Hernandez. In 2017, two years after being found guilty of murder and five years after scoring in the Super Bowl, Aaron Hernandez died by suicide in his prison cell. Hernandez was posthumously diagnosed with Chronic Traumatic Encephalopathy (CTE), a neurodegenerative disease associated with violence, depression, and dementia-like symptoms. I examine newspaper coverage of the Hernandez case, focusing upon the murder, arrests, conviction, suicide, and diagnosis of CTE in order to examine understandings of Hernandez's subjectivity. I make three conclusions: First, the disease is not mentioned prior to diagnosis with family instability, friendship groups, individual psychology, and the entitlement of celebrity foregrounded. Second, CTE is foregrounded after the diagnosis and is used to explain much of Hernandez's behaviour. Third, the diagnosis of CTE goes someway to normalizing the behaviour of Hernandez, rendering his behaviours comprehensible. I conclude by considering how the specific narrative of CTE-as-acquired-dementia shapes depictions of Hernandez's subjectivity and discuss how this case troubles existing literatures on the neurologization of selfhood. "
2019-12-01,"Factors of increased prevalence among individuals with Black racial identity (e.g., cardiovascular disease, CVD) may influence the association between exposure to repetitive head impacts (RHI) from American football and later-life neurological outcomes. Here, we tested the interaction between racial identity and RHI on neurobehavioral outcomes, brain volumetric measures, and cerebrospinal fluid (CSF) total tau (t-tau), phosphorylated tau (p-tau 68 symptomatic male former NFL players (ages 40-69;  Compared to White former NFL players, Black participants were 4 years younger ( Continued research on racial neurological disparities could provide insight into risk factors for long-term neurological disorders associated with American football play. "
2019-12-01,One of the neuropathological hallmarks of the tauopathies is the formation of neuronal cytoplasmic inclusions and fibrils of microtubule-associated tau protein (tau). The phosphorylation of Thr 
2019-12-01,
2019-12-01,"The neuropathological features of chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury (TBI), include abnormal accumulations of hyper-phosphorylated tau (p-tau) protein in neurons, neurites and astrocytes, considered to progress via neuronal circuits in brains. Some previous reports suggest that a single severe TBI (sTBI) can also induce CTE and p-tau accumulation, but it is not clear whether the pathology is the same as that of repetitive TBI (rTBI). Since prefrontal leucotomy could be regarded as a model of sTBI, in this study we evaluated two autopsied schizophrenia with this procedure. Histopathologically, gliosis and neuronal loss were found not only in the primary ablated prefrontal region, but also in secondary affected areas, i.e., cingulate gyrus, medial nucleus of the thalamus, and nucleus accumbens, which are connected to prefrontal areas. Accumulation of p-tau was mostly seen in neurons, neurites and glias around small blood vessels in the leucotomized prefrontal region. In addition, secondary regions showed some p-tau-positive neurons/glias, as well as many axonal spheroids. Regions of neuronal/glial p-tau pathology showed immunoreactivity to both 3R/4R tau antibodies. Immunoblot analyses of sarkosyl-insoluble tau from frozen brains showed an AD-type tau banding pattern with strong immunoreactivities. sTBI patients showed limited comorbidities, such as TDP-43, alpha-synuclein or AD pathology, whereas rTBI patients have high frequencies of them. The findings suggest that p-tau in the primary affected lesion might progress to connected regions via neuronal circuits over time, and a single severe axonal injury might lead to CTE pathology different from that caused by rTBI. "
2020-01-01,"Adenylate cyclase 5 (ADCY5)-related dyskinesia is a childhood-onset movement disorder. Manifestations vary in frequency and severity and may include chorea, tremor, dystonia, facial twitches, myoclonus, axial hypotonia, and limb hypertonia. Psychosis is likely part of the broader spectrum. ADCY5 is widely expressed in the brain, especially in the striatum. Previous reports of brain autopsies of 2 subjects with likely ADCY5-dyskinesia were limited by the absence of a molecular diagnosis. In 1 case, normal gross pathology was reported. In the other case, ADCY5 expression was not examined and neuropathological findings were confounded by age and comorbidities. To examine ADCY5 expression and neuropathological changes in ADCY5-dyskinesia. An extensive brain autopsy, including immunohistochemical analyses with antibodies to paired helical filament tau, α-synuclein, amyloid-β, microtubule-associated protein 2, and ADCY5, was performed. The patient, with a p.M1029K ADCY5 variant, had severe dyskinesias from early childhood, later recurrent episodes of psychosis, and died at age 46. Gross pathology was unremarkable, but we detected increased immunoreactivity for ADCY5 in neurons in multiple brain regions. Despite no history of brain trauma to suggest chronic traumatic encephalopathy, we found tau deposits in the deep cortical sulci, midbrain, and hippocampus with minimal amyloid pathology and no Lewy bodies. We present the first brain autopsy findings in a molecularly proven case of ADCY5-dyskinesia, showing increased ADCY5 immunoreactivity in neurons and evidence of tau deposition. Additional patients will need to be studied to determine whether increased immunoreactivity for ADCY5 is a signature for ADCY5-dyskinesia and whether this disease has a tauopathy component. "
2019-12-01,"Chronic traumatic encephalopathy (CTE) is a progressive neurodegenerative condition associated with repetitive traumatic brain injury (rTBI) seen in contact-sport athletes and military personnel. The medial temporal lobe (MTL; i.e., hippocampus, subiculum, and entorhinal and perirhinal cortices) memory circuit displays tau lesions during the pathological progression of CTE. We examined MTL tissue obtained from 40 male Caucasian and African American athletes who received a postmortem CTE neuropathological diagnosis defined as stage II, III, or IV. Sections were immunolabeled using an early (AT8) or a late (TauC3) marker for pathological tau and for amyloid beta (Aβ) species (6E10, Aβ "
2019-12-01,"In post-industrial countries, ethnic minorities suffer poorer health and premature deaths. The present study examined ethnic differences in life expectancy and related features among elite heavyweight boxers. Dates of birth and death, anthropometry, and championship years were gathered from media archives for champions and challengers (never been a champion) between years 1889 and 2019. Cox regression adjusted for age at contest, nationality, BMI, champion/challenger status, and number of contests was used to assess survival. All 237 boxers, 83 champions (37.3% whites) and 154 challengers (61.0% whites), who contested for heavyweight championships were identified. By 2019, 110 (75 whites, 34 non-whites) were known to have died. Non-white boxers died at an earlier age than whites boxers (mean ± SD = 59.8 ± 14.2 years versus 67.3 ± 16.4 years, p = 0.018) and had shorter survival: HR = 2.13 (95% CI = 1.4-3.3). Among non-white boxers, deaths were higher from neurological disorders: OR = 8.2 (95% CI = 1.3-13.5) and accidents: OR = 15.1 (95% CI = 2.3-98.2), while death from natural causes was lower: OR = 0.2 (95% CI = 0.03-0.8). After boxing careers, fewer non-white boxers had non-manual jobs (34.4% versus 71.8%) than manual (34.4% versus 19.7%) or were unemployed (28.1% versus 2.8%). Reported substance abuse was similar across ethnicity (8.0% versus 8.8%) but conviction rates were higher among non-white boxers (17.6%) than white (1.3%). Compared with white boxers, non-white boxers tend to die younger with excess neurological and accidental deaths, and they have lower social positions in later life. Sporting authorities should reappraise the wisdom of permitting head injuries in sport and monitor and support the health and wellbeing of sports men and women after retirement. "
2019-12-01,"In the 20th century, chronic traumatic encephalopathy (CTE) was conceptualized as a neurological disorder affecting some active and retired boxers who had tremendous exposure to neurotrauma. In recent years, the two research groups in the USA who have led the field have asserted definitively that CTE is a delayed-onset and progressive neurodegenerative disease, with symptoms appearing in midlife or decades after exposure. Between 2005 and 2012 autopsy cases of former boxers and American football players described neuropathology attributed to CTE that was broad and diverse. This pathology, resulting from multiple causes, was aggregated and referred to, in toto, as the pathology 'characteristic' of CTE. Preliminary consensus criteria for defining the neuropathology of CTE were forged in 2015 and published in 2016. Most of the macroscopic and microscopic neuropathological findings described as characteristic of CTE, in studies published before 2016, were not included in the new criteria for defining the pathology. In the past few years, there has been steadily emerging evidence that the neuropathology described as unique to CTE may not be unique. CTE pathology has been described in individuals with no known participation in collision or contact sports and no known exposure to repetitive neurotrauma. This pathology has been reported in individuals with substance abuse, temporal lobe epilepsy, amyotrophic lateral sclerosis, multiple system atrophy, and other neurodegenerative diseases. Moreover, throughout history, some clinical cases have been described as not being progressive, and there is now evidence that CTE neuropathology might not be progressive in some individuals. Considering the current state of knowledge, including the absence of a series of validated sensitive and specific biomarkers, CTE pathology might not be inexorably progressive or specific to those who have experienced repetitive neurotrauma. "
2019-12-01,"To provide a summary of recent developments in the field of paediatric traumatic brain injury (TBI). The epidemiology of paediatric TBI with falling rates of severe TBI, and increasing presentations of apparently minor TBI. There is growing interest in the pathophysiology and outcomes of concussion in children, and detection of 'significant' injury, arising from concern about risks of long-term chronic traumatic encephalopathy. The role of decompressive craniectomy in children is still clarifying. Paediatric TBI remains a major public health issue. "
2019-12-01,"To evaluate the presence of tau deposition and pathologic features of chronic traumatic encephalopathy (CTE) in young adult patients treated with focal cortical resections for drug-resistant epilepsy. Sixty consecutive patients who had undergone surgical treatment for drug-resistant focal epilepsy between 18 and 45 years of age were identified (2010-2017). Medical records were reviewed to determine clinical factors, including history of head trauma, age at seizure onset, age at surgical resection, seizure type(s) and frequency, imaging findings, and surgical outcome. All formalin-fixed, paraffin-embedded blocks from the surgical specimens from each subject were sectioned and stained with hematoxylin and eosin and antibodies to tau (Thermo Fisher Scientific Clone AT8), and examined blindly for tau pathology, including lesions characteristic of CTE. The median age at resection was 29.5 years (range = 19-45). A history of head trauma was reported in 19 patients. Although none of the patients had pathological findings characteristic of CTE, 23 patients (38%) demonstrated tau-immunoreactive lesions, including neurites, neurofibrillary pretangles, neurofibrillary tangles, subpial tau, and/or glial tau. In 4 of the 23 patients (7% of the cohort; 17% of those with tau pathology), substantial tau burden was identified. Three of these 4 patients had no significant history of head trauma; 1 patient had multiple sports-related concussions. No specific clinical factors correlated with the presence of tau pathology. Tau-immunoreactive lesions were found in 38% of 60 patients who underwent a focal cortical resection for drug-resistant focal epilepsy. Diagnostic features of CTE were not detected in any patient; however, the pathological evaluation for CTE was limited to a surgical specimen. The prominent and excessive tau deposition in 23 patients (38%) is abnormal in this age group and warrants further investigation. "
2019-12-01,"Evidence suggests that blast exposure has profound negative consequences for the health of the human brain, and that it may confer risk for the development of neurodegenerative diseases such as chronic traumatic encephalopathy and Alzheimer's disease (AD). Although the molecular mechanisms linking blast exposure to subsequent neurodegeneration is an active focus of research, recent studies suggest that genetic risk for AD may elevate the risk of neurodegeneration following traumatic brain injury (TBI). However, it is currently unknown if blast exposure also interacts with AD risk to promote neurodegeneration. In this study we examined whether apolipoprotein (APOE) ɛ4, a well-known genetic risk factor for AD, influenced the relationship between blast exposure and white matter integrity in a cohort of 200 Iraq and Afghanistan war veterans. Analyses revealed a significant interaction between close-range blast exposure (CBE) (close range being within 10 m) and APOE ɛ4 carrier status in predicting white matter abnormalities, measured by a voxelwise cluster-based method that captures spatial heterogeneity in white matter disruptions. This interaction remained significant after controlling for TBI, pointing to the specificity of CBE and APOE in white matter disruptions. Further, among veteran ɛ4 carriers exposed to close-range blast, we observed a positive association between the number of CBEs and the number of white matter abnormalities. These results raise the possibility that CBE interacts with AD genetic influences on neuropathological processes such as the degradation of white matter integrity. "
2019-12-01,"Globally, concussions in sport now attract far greater concern than several decades ago. Yet, no international scientific consensus exists for defining 'concussion,' or for determining how many brain injuries caused by a contact sport constitute a sufficient public health threat to warrant improving policies. How can policymakers help coaches, players, and parents work with public health authorities and clinicians to identify concussions, and prevent and treat head injuries? Doing so will require language that helps distinguish among the multitude of conditions related to Head Impact-Related Trauma in Sport (HIRTS), including sport-related concussion, post-concussion syndrome, second impact syndrome, and neurodegenerative diseases such as chronic traumatic encephalopathy. We propose a 'HIRTS framework' to advance public policy pertaining to head impacts and their effects. Given the scientific ambiguities regarding the definition, diagnosis, and markers of concussion and resulting complications, we encourage international policymakers, clinicians, and public health officials to adopt the following working definitions and concomitant policy recommendations to safeguard athletes' health and optimize tracking efforts, public education, funding, and government services. "
2019-11-01,"Previous studies have shown that clinically asymptomatic high-acceleration head impacts (HHIs) may be associated with neuronal and axonal injury, as measured by advanced imaging and biomarkers. Unfortunately, these methods of measurement are time-consuming, invasive, and costly. A quick noninvasive measurement tool is needed to aid studies of head injury and its biological impact. Quantitative pupillometry is a potential objective, rapid, noninvasive measurement tool that may be used to assess the neurological effects of HHIs. In this study, the authors investigated the effect of HHIs on pupillary metrics, as measured using a pupillometer, in the absence of a diagnosed concussion. A prospective observational cohort study involving 18 high school football athletes was performed. These athletes were monitored for both the frequency and magnitude of head impacts that they sustained throughout a playing season by using the Head Impact Telemetry System. An HHI was defined as an impact exceeding 95g linear acceleration and 3760 rad/sec2 rotational acceleration. Pupillary assessments were performed at baseline, midseason, after occurrence of an HHI, and at the end of the season by using the NeurOptics NPi-200 pupillometer. The Sport Concussion Assessment Tool, 5th Edition (SCAT5), was also used at each time point. Comparisons of data obtained at the various time points were calculated using a repeated-measures analysis of variance and a t-test. Seven athletes sustained HHIs without a related diagnosed concussion. Following these HHIs, the athletes demonstrated decreases in pupil dilation velocity (mean difference 0.139 mm/sec; p = 0.048), percent change in pupil diameter (mean difference 3.643%; p = 0.002), and maximum constriction velocity (mean difference 0.744 mm/sec; p = 0.010), compared to measurements obtained at the athletes' own midseason evaluations. No significant changes occurred between the SCAT5 subtest scores calculated at midseason and those after a high impact, although the effect sizes (Cohen's d) on individual components ranged from 0.41 to 0.65. Measurable changes in pupil response were demonstrated following an HHI. These results suggest that clinically asymptomatic HHIs may affect brain reflex pathways, reflecting a biological injury previously seen when more invasive methods were applied. "
2019-11-01,
